Date,Open,High,Low,Close,Adj. Close,Volume
"Jan 02, 2007",98.3,99.24,98.3,98.7,50.23,328200.0
"Jan 03, 2007",98.84,100.0,98.41,99.06,50.42,957900.0
"Jan 04, 2007",99.3,99.8,97.3,98.55,50.16,1147300.0
"Jan 05, 2007",98.55,99.34,98.06,98.56,50.16,938000.0
"Jan 08, 2007",99.2,99.44,98.6,98.78,50.27,760500.0
"Jan 09, 2007",98.5,99.15,98.23,98.71,50.24,1226200.0
"Jan 10, 2007",98.38,98.84,98.13,98.71,50.24,780600.0
"Jan 11, 2007",98.7,99.68,98.09,98.4,50.08,1292100.0
"Jan 12, 2007",98.53,99.2,98.38,98.41,50.09,710100.0
"Jan 15, 2007",98.41,99.15,98.41,98.92,50.35,302300.0
"Jan 16, 2007",98.65,99.48,98.65,99.19,50.48,587700.0
"Jan 17, 2007",99.64,100.35,99.51,100.22,51.01,974400.0
"Jan 18, 2007",100.22,101.63,100.2,100.6,51.2,1044500.0
"Jan 19, 2007",100.25,101.5,100.25,101.29,51.55,600900.0
"Jan 22, 2007",101.5,101.88,100.62,100.7,51.25,681800.0
"Jan 23, 2007",100.45,101.24,100.42,100.8,51.3,575200.0
"Jan 24, 2007",100.5,101.85,100.5,101.02,51.41,681800.0
"Jan 25, 2007",101.1,101.74,100.65,101.19,51.5,914300.0
"Jan 26, 2007",101.59,102.38,101.37,102.0,51.91,698000.0
"Jan 29, 2007",102.48,102.74,101.6,101.82,51.82,672900.0
"Jan 30, 2007",101.74,101.74,101.22,101.4,51.61,591800.0
"Jan 31, 2007",101.12,102.17,100.6,100.88,51.34,596300.0
"Feb 01, 2007",101.45,102.14,101.0,101.55,51.68,1413600.0
"Feb 02, 2007",101.98,102.34,101.67,101.75,51.79,590300.0
"Feb 05, 2007",102.14,102.33,101.43,102.17,52.0,516100.0
"Feb 06, 2007",102.0,102.65,101.63,101.85,51.84,510100.0
"Feb 07, 2007",101.95,102.58,101.68,101.78,51.8,504200.0
"Feb 08, 2007",101.88,102.02,101.2,101.52,51.67,475700.0
"Feb 09, 2007",101.2,101.74,100.17,100.4,51.1,655600.0
"Feb 12, 2007",100.85,100.98,100.1,100.25,51.02,476000.0
"Feb 13, 2007",100.25,101.96,100.25,101.35,51.58,535100.0
"Feb 14, 2007",101.94,101.98,101.45,101.65,51.74,444400.0
"Feb 15, 2007",101.74,102.74,101.74,102.74,52.29,824600.0
"Feb 16, 2007",102.95,102.95,102.0,102.15,51.99,374400.0
"Feb 19, 2007",102.38,102.9,102.3,102.7,52.27,250700.0
"Feb 20, 2007",102.15,104.57,102.15,104.0,52.93,1317500.0
"Feb 21, 2007",104.0,104.2,103.7,103.9,52.88,1245900.0
"Feb 22, 2007",104.62,104.63,103.05,103.46,52.66,522200.0
"Feb 23, 2007",103.89,103.97,103.08,103.36,52.61,457000.0
"Feb 26, 2007",103.64,104.04,103.13,103.9,52.88,771500.0
"Feb 27, 2007",103.5,103.5,100.41,100.89,51.35,1485000.0
"Feb 28, 2007",101.6,101.79,98.54,100.66,51.23,1490900.0
"Mar 01, 2007",99.0,101.81,98.38,100.52,51.16,1219500.0
"Mar 02, 2007",99.7,101.85,99.0,100.5,51.15,1014800.0
"Mar 05, 2007",99.1,100.26,99.03,99.26,50.52,724600.0
"Mar 06, 2007",100.22,101.47,100.22,100.84,51.32,1413300.0
"Mar 07, 2007",100.84,102.45,100.65,101.89,51.86,817600.0
"Mar 08, 2007",101.7,102.45,101.53,102.2,52.02,756500.0
"Mar 09, 2007",102.13,103.29,102.12,102.89,52.37,849800.0
"Mar 12, 2007",102.89,102.98,102.41,102.97,52.41,728200.0
"Mar 13, 2007",102.79,103.21,101.2,101.69,51.76,793000.0
"Mar 14, 2007",101.69,102.2,100.25,101.15,51.48,1093900.0
"Mar 15, 2007",101.49,101.68,100.1,100.6,51.2,1190800.0
"Mar 16, 2007",100.55,101.38,100.01,100.03,50.91,1824700.0
"Mar 19, 2007",100.65,101.77,100.09,101.57,51.69,648900.0
"Mar 20, 2007",101.57,102.0,101.08,101.32,51.57,605600.0
"Mar 21, 2007",101.29,102.4,101.12,102.18,52.01,727700.0
"Mar 22, 2007",102.65,103.45,101.27,101.76,51.79,925300.0
"Mar 23, 2007",102.05,102.68,101.8,102.23,52.03,1068100.0
"Mar 26, 2007",102.25,102.45,101.11,102.07,52.34,998400.0
"Mar 27, 2007",102.22,102.27,101.17,101.43,52.02,519300.0
"Mar 28, 2007",101.12,101.44,100.28,100.35,51.46,534100.0
"Mar 29, 2007",100.92,101.3,100.3,100.95,51.77,487500.0
"Mar 30, 2007",100.66,100.93,99.96,100.19,51.38,662500.0
"Apr 02, 2007",100.31,101.27,100.2,101.09,51.84,498000.0
"Apr 03, 2007",101.34,101.93,101.05,101.21,51.9,813200.0
"Apr 04, 2007",101.43,101.7,100.92,101.5,52.05,410000.0
