Date,Open,High,Low,Close,Adj. Close,Volume
"Feb 18, 2020",107.66,108.08,107.37,107.85,107.85,4046800.0
"Feb 19, 2020",108.0,108.02,107.53,107.76,107.76,2218100.0
"Feb 20, 2020",107.95,108.16,107.66,108.0,108.0,4167100.0
"Feb 21, 2020",109.0,109.42,108.67,109.21,109.21,5528000.0
"Feb 24, 2020",107.0,108.37,106.81,108.32,108.32,3005000.0
"Feb 25, 2020",108.0,108.14,105.81,106.22,106.22,4582400.0
"Feb 26, 2020",106.24,106.98,103.97,103.97,103.97,4138800.0
"Feb 27, 2020",102.91,103.24,100.91,102.52,102.52,3211400.0
"Feb 28, 2020",100.0,101.01,98.54,99.82,99.82,7776500.0
"Mar 02, 2020",99.48,102.39,99.01,102.29,102.29,5715900.0
"Mar 03, 2020",103.1,103.4,100.45,100.58,100.58,6468200.0
"Mar 04, 2020",101.95,102.25,100.28,101.18,101.18,5061500.0
"Mar 05, 2020",99.76,100.26,99.01,99.8,99.8,5322200.0
"Mar 06, 2020",98.0,98.66,96.86,97.5,97.5,5422000.0
"Mar 09, 2020",92.0,94.02,89.0,89.35,89.35,10781200.0
"Mar 10, 2020",92.8,92.8,89.59,92.38,92.38,7581500.0
"Mar 11, 2020",90.69,90.9,87.81,87.87,87.87,7163400.0
"Mar 12, 2020",80.01,82.05,77.34,78.61,78.61,11157100.0
"Mar 13, 2020",84.44,90.32,83.23,90.32,90.32,9529700.0
"Mar 16, 2020",78.0,86.0,78.0,83.85,83.85,9645200.0
"Mar 17, 2020",85.45,92.4,83.74,89.1,89.1,7983200.0
"Mar 18, 2020",82.7,86.24,78.0,80.0,80.0,7684000.0
"Mar 19, 2020",79.0,82.36,77.55,82.1,82.1,4779700.0
"Mar 20, 2020",82.69,84.21,78.3,78.5,78.5,11147700.0
"Mar 23, 2020",77.5,78.23,72.0,72.25,72.25,8021900.0
"Mar 24, 2020",76.43,81.79,75.11,81.75,81.75,8878100.0
"Mar 25, 2020",82.65,89.13,81.11,85.12,85.12,7159400.0
"Mar 26, 2020",85.0,89.18,84.6,86.41,86.41,5054000.0
"Mar 27, 2020",83.21,84.31,81.58,82.54,82.54,4661100.0
"Mar 30, 2020",83.29,84.85,80.51,84.8,84.8,4212400.0
"Mar 31, 2020",84.27,87.77,83.87,87.17,87.17,5492400.0
"Apr 01, 2020",83.32,84.87,82.82,83.05,83.05,4373100.0
"Apr 02, 2020",83.05,85.69,82.61,83.66,83.66,4059600.0
"Apr 03, 2020",83.0,83.75,81.22,82.08,82.08,3881600.0
"Apr 06, 2020",85.24,86.12,84.42,85.9,85.9,6604700.0
"Apr 07, 2020",88.98,89.65,85.64,85.67,85.67,4432800.0
"Apr 08, 2020",86.89,87.92,85.1,87.41,87.41,10499200.0
"Apr 09, 2020",88.06,89.75,87.25,88.25,88.25,4437300.0
"Apr 13, 2020",88.46,88.7,85.67,86.11,86.11,6166100.0
"Apr 14, 2020",88.0,88.22,85.82,87.39,87.39,6009900.0
"Apr 15, 2020",85.9,86.62,84.91,85.26,85.26,4311300.0
"Apr 16, 2020",85.51,85.8,83.17,83.63,83.63,5221500.0
"Apr 17, 2020",86.11,87.61,85.02,87.47,87.47,12155200.0
