Date,Open,High,Low,Close,Adj. Close,Volume
"Feb 18, 2020",75.0,75.51,74.88,75.3,74.31,2899600.0
"Feb 19, 2020",75.43,75.69,75.13,75.6,74.6,1980400.0
"Feb 20, 2020",75.67,76.1,75.56,75.98,74.98,2936700.0
"Feb 21, 2020",75.79,76.1,75.51,75.77,74.77,2365300.0
"Feb 24, 2020",74.45,75.03,74.06,74.81,73.82,3617100.0
"Feb 25, 2020",74.69,74.83,73.12,73.49,72.52,4601500.0
"Feb 26, 2020",73.4,74.17,73.04,73.1,72.13,4261700.0
"Feb 27, 2020",71.25,71.25,69.34,70.9,69.96,6556000.0
"Feb 28, 2020",69.04,69.85,67.69,69.04,68.13,10000200.0
"Mar 02, 2020",68.97,69.61,67.69,69.51,68.59,7626200.0
"Mar 03, 2020",70.3,70.32,67.6,67.85,66.95,10041000.0
"Mar 04, 2020",68.53,68.7,67.65,68.64,67.73,4853000.0
"Mar 05, 2020",67.78,67.83,66.71,67.29,66.4,6698200.0
"Mar 06, 2020",65.99,65.99,64.83,65.45,64.59,13450800.0
"Mar 09, 2020",60.0,62.14,57.0,57.38,56.62,11327100.0
"Mar 10, 2020",61.33,61.33,58.15,60.2,59.4,10608900.0
"Mar 11, 2020",59.25,59.47,57.84,58.0,57.23,8848700.0
"Mar 12, 2020",54.75,54.83,49.97,51.84,51.16,17537600.0
"Mar 13, 2020",55.25,61.11,53.28,61.11,60.3,13269400.0
"Mar 16, 2020",51.75,57.57,51.5,55.11,54.38,11836100.0
"Mar 17, 2020",56.23,59.44,55.12,57.71,56.95,11360000.0
"Mar 18, 2020",53.25,56.56,52.22,54.03,53.32,8435700.0
"Mar 19, 2020",53.0,54.71,51.58,54.38,53.66,6080400.0
"Mar 20, 2020",55.5,57.42,51.95,53.11,52.41,16737600.0
"Mar 23, 2020",51.75,53.1,49.01,49.28,48.63,11966800.0
"Mar 24, 2020",52.48,56.36,51.4,55.89,55.15,12678600.0
"Mar 25, 2020",56.84,62.33,56.2,59.6,58.81,8719100.0
"Mar 26, 2020",59.01,62.52,58.85,60.25,59.45,9265600.0
"Mar 27, 2020",57.59,58.5,55.94,56.77,56.02,6212000.0
"Mar 30, 2020",57.25,58.59,55.62,58.46,57.69,5642000.0
"Mar 31, 2020",58.11,60.52,58.11,59.83,59.04,9112400.0
"Apr 01, 2020",57.23,58.45,56.77,56.8,56.05,10721000.0
"Apr 02, 2020",57.0,58.2,56.11,57.01,56.26,12564100.0
"Apr 03, 2020",56.77,57.2,55.2,55.79,55.05,8432100.0
"Apr 06, 2020",57.23,59.08,57.22,58.98,58.2,15700400.0
"Apr 07, 2020",61.31,61.85,59.45,59.8,59.01,9068300.0
"Apr 08, 2020",59.49,60.3,58.31,60.01,60.01,8469700.0
"Apr 09, 2020",60.2,61.2,59.38,60.23,60.23,6241600.0
"Apr 13, 2020",60.24,60.35,58.42,58.42,58.42,13003300.0
"Apr 14, 2020",59.25,59.61,57.78,58.75,58.75,8089900.0
"Apr 15, 2020",57.6,57.67,56.6,56.66,56.66,4138300.0
"Apr 16, 2020",56.75,57.08,54.52,54.52,54.52,4961300.0
"Apr 17, 2020",56.5,56.99,55.61,56.92,56.92,4358200.0
