Date,Open,High,Low,Close,Adj. Close,Volume
"Feb 18, 2020",109.78,109.86,108.69,109.13,107.18,2635500.0
"Feb 19, 2020",109.25,109.65,108.96,109.04,107.09,1069000.0
"Feb 20, 2020",109.02,109.78,108.68,109.24,107.29,1433100.0
"Feb 21, 2020",109.12,109.33,108.69,109.17,107.22,1052700.0
"Feb 24, 2020",107.96,108.24,107.29,107.5,105.58,2062400.0
"Feb 25, 2020",107.5,107.66,105.16,106.02,104.12,2457400.0
"Feb 26, 2020",105.87,108.04,105.8,107.07,105.16,2609500.0
"Feb 27, 2020",105.99,106.58,104.05,104.74,102.87,2210400.0
"Feb 28, 2020",102.95,103.21,100.88,102.16,100.33,4057400.0
"Mar 02, 2020",101.51,103.76,101.08,103.44,101.59,2894300.0
"Mar 03, 2020",103.79,104.21,101.5,101.6,99.78,4091700.0
"Mar 04, 2020",102.67,103.77,101.59,103.75,101.89,2638500.0
"Mar 05, 2020",102.14,102.83,100.67,101.47,99.66,2827600.0
"Mar 06, 2020",100.0,100.19,98.64,98.99,97.22,3632000.0
"Mar 09, 2020",92.6,94.84,85.15,85.46,83.93,6366100.0
"Mar 10, 2020",90.0,90.0,85.58,88.17,86.59,5078200.0
"Mar 11, 2020",87.25,88.03,85.41,85.68,84.15,4608700.0
"Mar 12, 2020",80.0,81.38,70.03,71.0,69.73,7797100.0
"Mar 13, 2020",75.84,84.46,75.84,84.46,82.95,6660700.0
"Mar 16, 2020",74.0,80.94,73.15,77.48,76.09,4612600.0
"Mar 17, 2020",78.67,79.12,74.26,75.42,74.07,5092100.0
"Mar 18, 2020",71.97,75.24,70.15,72.2,70.91,4676000.0
"Mar 19, 2020",71.6,74.79,70.41,72.19,70.9,4864000.0
"Mar 20, 2020",74.45,77.77,71.0,73.29,71.98,7850700.0
"Mar 23, 2020",73.12,73.25,67.52,67.61,66.4,6701600.0
"Mar 24, 2020",72.0,75.25,70.88,75.1,73.76,7671500.0
"Mar 25, 2020",76.15,84.49,75.32,81.64,80.18,4660100.0
"Mar 26, 2020",79.77,84.66,79.27,81.68,81.68,3845500.0
"Mar 27, 2020",79.19,79.72,76.88,77.67,77.67,5340100.0
"Mar 30, 2020",77.69,79.0,75.43,79.0,79.0,5944700.0
"Mar 31, 2020",78.99,82.34,78.66,82.0,82.0,3025200.0
"Apr 01, 2020",78.31,79.46,77.61,78.08,78.08,4947900.0
"Apr 02, 2020",78.25,80.39,78.05,79.01,79.01,2111400.0
"Apr 03, 2020",79.5,79.62,76.32,76.62,76.62,2840700.0
"Apr 06, 2020",79.8,81.87,79.32,81.78,81.78,2168400.0
"Apr 07, 2020",85.79,86.3,82.5,83.14,83.14,2734100.0
"Apr 08, 2020",83.77,85.5,82.09,85.03,85.03,2243200.0
"Apr 09, 2020",86.61,87.7,85.0,86.17,86.17,1902600.0
"Apr 13, 2020",86.77,86.77,84.06,84.25,84.25,1177500.0
"Apr 14, 2020",85.97,85.97,83.19,83.84,83.84,2231100.0
"Apr 15, 2020",82.45,82.5,80.4,80.78,80.78,1957100.0
"Apr 16, 2020",81.45,81.73,78.0,78.05,78.05,2406100.0
"Apr 17, 2020",81.4,81.4,79.76,80.9,80.9,2726300.0
