Date,Open,High,Low,Close,Adj. Close,Volume
"Jan 02, 2007",55.1,55.75,55.1,55.53,32.73,1048500.0
"Jan 03, 2007",55.52,55.96,55.23,55.57,32.75,2139800.0
"Jan 04, 2007",55.74,55.81,54.94,55.1,32.47,2133600.0
"Jan 05, 2007",55.1,55.17,54.25,54.5,32.12,2162800.0
"Jan 08, 2007",54.6,54.9,54.35,54.4,32.06,1692800.0
"Jan 09, 2007",54.35,54.65,53.58,53.93,31.78,2660900.0
"Jan 10, 2007",54.02,54.08,53.21,53.5,31.53,2229700.0
"Jan 11, 2007",53.62,54.24,53.6,53.91,31.77,3340900.0
"Jan 12, 2007",54.05,54.68,53.86,54.27,31.98,6647400.0
"Jan 15, 2007",54.64,54.87,54.21,54.23,31.96,1051800.0
"Jan 16, 2007",54.4,54.79,54.2,54.32,32.01,1886100.0
"Jan 17, 2007",54.4,54.61,54.07,54.5,32.12,2470100.0
"Jan 18, 2007",54.5,54.7,54.1,54.18,31.93,1784000.0
"Jan 19, 2007",54.18,54.66,54.18,54.6,32.18,4847900.0
"Jan 22, 2007",54.8,55.0,54.6,54.6,32.18,4195100.0
"Jan 23, 2007",54.3,54.38,53.92,54.34,32.26,2158800.0
"Jan 24, 2007",54.34,54.84,54.29,54.68,32.46,2667700.0
"Jan 25, 2007",54.82,54.95,54.56,54.61,32.42,2874100.0
"Jan 26, 2007",54.73,55.24,54.65,55.0,32.65,2266900.0
"Jan 29, 2007",54.99,55.0,54.5,54.55,32.39,2936300.0
"Jan 30, 2007",54.4,54.62,54.08,54.46,32.33,1852500.0
"Jan 31, 2007",54.31,54.82,54.31,54.6,32.42,2685700.0
"Feb 01, 2007",54.75,54.87,54.49,54.6,32.42,2613400.0
"Feb 02, 2007",54.51,54.51,54.21,54.25,32.21,1984100.0
"Feb 05, 2007",54.25,54.49,54.1,54.45,32.33,1508300.0
"Feb 06, 2007",54.6,54.74,54.5,54.6,32.42,1585000.0
"Feb 07, 2007",54.75,54.87,54.47,54.6,32.42,1686400.0
"Feb 08, 2007",54.58,54.65,54.28,54.46,32.33,1541600.0
"Feb 09, 2007",54.35,54.82,54.3,54.3,32.24,1626800.0
"Feb 12, 2007",54.65,54.8,54.08,54.26,32.21,1045200.0
"Feb 13, 2007",54.01,54.78,54.01,54.59,32.41,1455900.0
"Feb 14, 2007",54.75,54.87,54.61,54.8,32.54,1421200.0
"Feb 15, 2007",54.75,54.98,54.71,54.93,32.61,2277000.0
"Feb 16, 2007",55.0,55.0,54.49,54.58,32.4,1408000.0
"Feb 19, 2007",54.75,54.85,54.55,54.63,32.43,966600.0
