Date,Open,High,Low,Close,Adj. Close,Volume
"Feb 18, 2020",74.64,74.82,74.38,74.62,73.39,2493200.0
"Feb 19, 2020",74.71,74.87,74.55,74.63,73.4,1528400.0
"Feb 20, 2020",74.57,74.88,74.52,74.63,73.4,1762800.0
"Feb 21, 2020",74.46,74.67,74.13,74.24,73.02,1685100.0
"Feb 24, 2020",73.01,73.54,72.92,73.15,71.94,2967200.0
"Feb 25, 2020",73.54,73.59,72.02,72.48,71.29,3567300.0
"Feb 26, 2020",72.46,73.5,72.3,72.5,71.3,3896500.0
"Feb 27, 2020",71.91,71.99,70.28,71.42,70.24,2810700.0
"Feb 28, 2020",69.95,71.15,68.85,70.22,69.06,6628000.0
"Mar 02, 2020",69.76,70.71,69.16,70.57,69.41,4568800.0
"Mar 03, 2020",70.91,71.17,69.55,69.64,68.49,4307900.0
"Mar 04, 2020",70.24,70.73,69.76,70.73,69.56,3162300.0
"Mar 05, 2020",69.61,69.8,68.12,68.76,67.63,3893800.0
"Mar 06, 2020",67.5,67.88,66.74,67.09,65.98,4418400.0
"Mar 09, 2020",60.9,63.98,59.18,59.39,58.41,7363900.0
"Mar 10, 2020",61.79,61.95,58.53,60.3,59.31,9134300.0
"Mar 11, 2020",59.12,60.25,58.34,58.48,57.52,6256200.0
"Mar 12, 2020",52.99,54.6,48.92,50.66,49.82,11684500.0
"Mar 13, 2020",52.93,59.29,52.92,59.19,58.21,9611300.0
"Mar 16, 2020",53.0,56.19,51.49,52.66,51.79,11593900.0
"Mar 17, 2020",53.72,55.71,50.7,54.02,53.13,7892900.0
"Mar 18, 2020",50.8,52.96,48.09,49.95,49.13,6247700.0
"Mar 19, 2020",49.14,50.91,48.01,50.68,49.84,6540100.0
"Mar 20, 2020",51.35,54.85,49.19,50.03,49.21,9325400.0
"Mar 23, 2020",49.36,50.57,46.38,46.72,45.95,8353200.0
"Mar 24, 2020",49.49,53.17,49.17,52.26,51.4,7935200.0
"Mar 25, 2020",53.68,58.99,52.31,57.25,56.31,8201800.0
"Mar 26, 2020",57.0,59.8,56.63,58.07,57.11,4978100.0
"Mar 27, 2020",55.68,56.74,53.85,54.29,53.39,6016800.0
"Mar 30, 2020",54.18,55.11,52.91,54.81,53.91,6779500.0
"Mar 31, 2020",55.09,57.92,54.9,57.47,56.52,12165600.0
"Apr 01, 2020",55.79,55.98,54.27,54.38,53.48,7227000.0
"Apr 02, 2020",54.96,55.87,54.13,55.13,54.22,9310500.0
"Apr 03, 2020",54.71,55.25,53.7,54.59,53.69,6251800.0
"Apr 06, 2020",55.07,55.98,54.66,55.29,55.29,7753300.0
"Apr 07, 2020",57.1,58.14,55.2,55.51,55.51,6985400.0
"Apr 08, 2020",56.0,56.76,54.91,56.4,56.4,6701800.0
"Apr 09, 2020",57.1,58.05,56.42,57.4,57.4,7527100.0
"Apr 13, 2020",57.4,57.5,55.66,55.69,55.69,5490400.0
"Apr 14, 2020",56.65,56.88,54.85,55.53,55.53,4184100.0
"Apr 15, 2020",54.61,54.72,53.61,53.66,53.66,5536300.0
"Apr 16, 2020",53.74,53.96,51.87,51.95,51.95,3638500.0
"Apr 17, 2020",53.96,54.65,53.32,54.45,54.45,4787200.0
